1,11.924,9.5061,8.9129,49.7489,9506.1
2,23.894,9.5062,8.3164,49.796,9506.2
3,35.895,9.5062,7.7181,49.8163,9506.2
4,47.802,9.5061,7.1265,49.7792,9506.1
5,59.85,9.5063,6.5268,49.7836,9506.3
6,71.922,9.5062,5.9255,49.7859,9506.2
7,83.958,9.506,5.3261,49.7859,9506
8,96.045,9.506,4.7236,49.7944,9506
9,107.803,9.506,4.1337,49.835,9506
10,119.821,9.5059,3.5365,49.8195,9505.9
11,131.941,9.5061,2.9306,49.8362,9506.1
12,143.925,9.5061,2.3353,49.8233,9506.1
13,155.883,9.506,1.7387,49.8279,9506
14,159.55,9.5062,1.555,49.835,9506.2
15,159.55,9.5062,1.5548,49.8361,9506.2
16,159.56,9.506,1.5548,49.8322,9506
17,159.565,9.506,1.5546,49.8319,9506
18,159.568,9.5062,1.5551,49.829,9506.2
19,159.568,9.5061,1.5551,49.8286,9506.1
20,159.57,9.506,1.5554,49.8254,9506
